0,Banhgok
1,SufanBuri
2,Saraburi
3,LopBuri
4,NakhonRatchasima
5,BuriRam
6,Chaiaphum
7,NakhonSavan
8,Phichig
9,Phetchbun
10,Phitsanulok
11,Sukhotay
12,Tak
13,Lampang
14,Phao
